date,time,ticker,name,platform,login,followers,live_viewers,total_views,hours_live_since_jul15,clips_since_jul15,clip_views_since_jul15
2026-07-14,13:36,STABLE,"Stable Ronaldo",twitch,stableronaldo,4784790,,
2026-07-14,13:36,PLAQUE,"PlaqueBoyMax",twitch,plaqueboymax,2466852,,
2026-07-14,13:36,WEEN,"JasonTheWeen",twitch,jasontheween,2371130,,
2026-07-14,13:36,SKETCH,"Sketch",twitch,thesketchreal,1695665,,
2026-07-14,13:36,LACY,"Lacy",twitch,lacy,2696903,,
2026-07-14,13:36,MARLON,"Marlon",twitch,marlon,2418132,,
2026-07-14,13:36,SILKY,"Silky",twitch,silky,1171415,,
2026-07-14,13:36,DRUM,"OfficeDrummer",twitch,officedrummer,249260,,
2026-07-14,13:36,CGC,"Chris Gone Crazy",twitch,chrisgonecrazy,3,,
2026-07-14,13:36,YUSUF,"Yusuf7n",twitch,yusuf7n,276570,,
2026-07-14,13:36,PINK,"s0pink",twitch,s0pink,8929,,
2026-07-14,13:36,MOOK,"Mookie",twitch,mookie,10988,,
2026-07-14,13:36,AIKOOO,"Aikooofficial",twitch,aikooofficial,7780,,
2026-07-14,13:36,STRAIG,"Straight2ThBank",twitch,straight2thbank,277,,
2026-07-14,13:36,COOLBU,"coolbutterflyyyy",twitch,coolbutterflyyyy,6433,,
2026-07-14,13:36,A2GUAP,"A2guapo",twitch,a2guapo,243899,,
2026-07-14,13:36,AVAZUR,"Avazura",twitch,avazura,34712,,
2026-07-14,13:36,2XCEEE,"2xceeej",twitch,2xceeej,21856,,
2026-07-14,13:36,ANDREW,"Andrewuhrik",twitch,andrewuhrik,13349,,
2026-07-14,13:36,ANGELC,"AngelCrackedU",twitch,angelcrackedu,6639,,
2026-07-14,13:36,AOZAMI,"Aozami",twitch,aozami,23823,,
2026-07-14,13:36,BENJYC,"BenjyChavez_",twitch,benjychavez_,188984,,
2026-07-14,13:36,BLAZIA,"Blazian",twitch,blazian,6093,,
2026-07-14,13:36,BONITA,"Bonita",twitch,bonita,24945,,
2026-07-14,13:36,BRAEDE,"Braeden",twitch,braeden,278850,,
2026-07-14,13:36,GIOVAN,"Giovanna Ramos",twitch,giovannaramos,0,,
2026-07-14,13:36,MADAIC,"Madaichakell",twitch,madaichakell,1638,,
2026-07-14,13:36,MADI2H,"Madi2hottyy",twitch,madi2hottyy,224948,,
2026-07-14,13:36,MALEK0,"Malek_04",twitch,malek_04,45405,,
2026-07-14,13:36,MANDOO,"MandooMillions",twitch,mandoomillions,1929,,
2026-07-14,13:36,MEESTE,"MeesterKeem",twitch,meesterkeem,53134,,
2026-07-14,13:36,MIYA,"Miya",twitch,miya,22543,,
2026-07-14,13:36,MYANIC,"Mya Nicole",twitch,myanicole,2,,
2026-07-14,13:36,NOEMI,"Noemi",twitch,noemi,154023,,
2026-07-14,13:36,NOTBIL,"NotBilzo",twitch,notbilzo,47741,,
2026-07-14,13:36,ONLYLA,"OnlyLarryKing",twitch,onlylarryking,35124,,
2026-07-14,13:36,PAYTON,"Payton Baeton",twitch,paytonbaeton,4,,
2026-07-14,13:36,PUDGIE,"Pudgie16",twitch,pudgie16,2459,,
2026-07-14,13:36,REEMKN,"Reemknocks",twitch,reemknocks,174516,,
2026-07-14,13:36,RIZPY,"RizpyYT",twitch,rizpyyt,14410,,
2026-07-14,13:36,RULAEM,"Rula Empire",twitch,rulaempire,135817,,
2026-07-14,13:36,RUNIK,"Runik",twitch,runik,2,,
2026-07-14,13:36,SARAHF,"Sarah Farrugia",twitch,sarahfarrugia,5898,,
2026-07-14,13:36,SELEOL,"Seleolu",twitch,seleolu,5972,,
2026-07-14,13:36,SHAZDE,"Shaz Delicious",twitch,shazdelicious,39294,,
2026-07-14,13:36,SIERRA,"Sierra Sprague",twitch,sierrasprague,17450,,
2026-07-14,13:36,SUHMMI,"SUHMMIEE",twitch,suhmmiee,9296,,
2026-07-14,13:36,SUKIIM,"Sukiimellow",twitch,sukiimellow,19049,,
2026-07-14,13:36,SUBURB,"Suburbbaby",twitch,suburbbaby,176176,,
2026-07-14,13:36,TAYLOR,"Taylor Jasmine",twitch,taylorjasmine,4,,
2026-07-14,13:36,YSABEL,"Ysabella Grace",twitch,ysabellagrace,18800,,
2026-07-14,13:36,COOLIT,"Coolitshawty",twitch,coolitshawty,4129,,
